ra,dec,x,y,z,mag
95.092019,-5.944693,0.626605,0.705052,0.332065,7.500088
87.752309,-69.902752,0.689631,-0.148638,-0.708742,7.500288
197.335893,6.996422,-0.630725,0.417249,0.654285,7.500749
20.510803,-27.233890,0.045691,-0.503769,-0.862629,7.501137
175.947935,-38.919991,0.342760,0.006426,-0.939401,7.501356
49.439033,3.681202,-0.581227,0.631019,-0.513801,7.501445
262.169901,-31.384303,-0.152412,-0.987811,0.031618,7.501572
74.211964,-44.192342,0.366885,-0.906599,-0.208504,7.501887
54.011819,16.466156,0.597308,0.412814,-0.687610,7.502054
280.690963,5.687171,-0.383318,-0.733455,-0.561348,7.502076
113.501321,21.123787,-0.594771,-0.254264,0.762625,7.502204
285.668768,29.292563,0.512659,-0.112577,-0.851180,7.502213
109.290309,-46.695092,0.715431,-0.561505,-0.415777,7.502274
288.708216,-30.837440,0.795231,-0.262038,0.546757,7.502472
81.367093,34.444559,-0.944947,0.307196,0.112720,7.502713
318.736366,-59.311592,0.125321,0.920668,-0.369683,7.503013
309.625654,-70.072957,-0.102290,0.566056,-0.817996,7.503056
53.474111,56.314135,-0.970438,-0.065152,-0.232389,7.503217
91.062156,-6.667942,-0.925991,0.040799,-0.375334,7.503326
321.508424,-8.285446,-0.202264,-0.366035,-0.908355,7.503339
354.810016,58.750672,0.579506,-0.111423,0.807315,7.503382
315.179068,16.063827,-0.490733,-0.798623,-0.348401,7.503424
323.459619,15.687061,0.992053,-0.124076,0.020901,7.503488
310.833071,78.815449,0.945904,-0.176626,-0.272155,7.503506
213.210082,-66.452617,-0.810898,0.360393,0.461044,7.503642
358.923063,77.919585,-0.577642,-0.573157,0.581224,7.503683
29.660115,15.930112,0.179441,0.958779,-0.220326,7.503844
297.806699,65.546777,0.727677,-0.547012,0.413840,7.504135
284.900132,-21.828263,0.545710,-0.822133,-0.162166,7.504199
7.622395,32.176834,0.166223,0.704876,0.689579,7.504282
53.758935,62.525306,-0.894971,-0.328578,-0.301769,7.504449
221.815851,2.702887,0.296411,-0.855402,0.424768,7.504469
128.397520,-0.750759,-0.671218,0.289961,-0.682194,7.504597
83.152755,20.917762,-0.047375,-0.474793,0.878822,7.504636
122.549718,-38.161595,-0.894607,-0.024701,-0.446171,7.504683
150.482836,12.245787,0.902762,-0.292779,-0.315120,7.504953
101.105129,6.281599,0.839646,0.543132,-0.001586,7.505129
98.594327,6.695017,-0.327825,-0.855745,0.400288,7.505405
51.381733,62.946476,0.436173,0.892565,0.114372,7.505407
254.470652,47.367856,0.970386,0.001598,-0.241553,7.505482
302.489154,25.536737,0.574259,0.718124,0.393095,7.505547
261.932998,-3.125264,0.380127,0.924790,-0.016328,7.505648
319.668265,50.182434,0.712526,-0.696724,-0.082953,7.505854
186.418744,-0.282064,-0.465545,-0.840116,-0.278339,7.506324
273.833458,50.971102,-0.662514,-0.374854,0.648506,7.506454
154.251843,21.912951,0.948260,0.307735,0.078118,7.506987
92.360644,27.193868,0.146498,0.447551,0.882177,7.507257
133.494731,-15.585748,-0.022784,-0.992280,-0.121911,7.507437
243.730925,-0.260246,0.246083,-0.934468,-0.257318,7.507539
296.312189,-27.396366,-0.343766,-0.538315,-0.769443,7.507752
86.577540,-5.860781,0.166651,-0.896753,0.409954,7.507947
44.022142,-79.591846,-0.495416,-0.019750,0.868431,7.507978
226.319941,-23.013346,-0.517406,-0.065157,0.853256,7.508090
344.552192,14.720785,-0.286989,0.470414,0.834474,7.508494
144.525431,-56.321700,0.974281,0.011857,0.225024,7.508625
330.795022,18.884242,-0.599241,-0.799817,0.034679,7.508660
40.495772,0.550396,-0.802114,0.288197,0.523025,7.508702
124.531831,-66.511507,-0.364918,0.777308,0.512472,7.508746
63.680276,66.222233,-0.640811,-0.727140,-0.246228,7.508783
